id_execucao,id_cenario,grupo,patologia,n_holders,distribuicao,parametro_dist,n_candidatos,tamanho_comite,turnout,n_aprovacoes,n_blocos,frac_proxy,tam_cartel,orcamento_suborno,frac_exchange,frac_colludida,n_rodadas,vantagem_incumbencia,reinveste_recompensa,metrica,camada,media,ic95,n_runs,seed_base
20260703-001000,5,G10,concentracao_de_recompensas,1000,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.25,gini,produzido,0.045672,0.010153,30,0
20260703-001000,5,G10,concentracao_de_recompensas,1000,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.25,gini_recompensas,stake,0.981186,0.000349,30,0
20260703-001000,5,G10,concentracao_de_recompensas,1000,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.25,gini_recompensas,eleito,0.981186,0.000349,30,0
20260703-001000,5,G10,concentracao_de_recompensas,1000,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.25,gini_recompensas,produzido,0.981186,0.000349,30,0
20260703-001000,6,G10,concentracao_de_recompensas,1000,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.5,gini,stake,0.972084,0.000722,30,0
20260703-001000,6,G10,concentracao_de_recompensas,1000,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.5,gini,eleito,0.002855,0.002197,30,0
20260703-001000,6,G10,concentracao_de_recompensas,1000,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.5,gini,produzido,0.026922,0.002349,30,0
20260703-001000,6,G10,concentracao_de_recompensas,1000,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.5,gini_recompensas,stake,0.980493,0.000274,30,0
20260703-001000,6,G10,concentracao_de_recompensas,1000,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.5,gini_recompensas,eleito,0.980493,0.000274,30,0
20260703-001000,6,G10,concentracao_de_recompensas,1000,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.5,gini_recompensas,produzido,0.980493,0.000274,30,0
20260703-001000,7,G10,concentracao_de_recompensas,1000,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,20,0.0,0.0,gini,stake,0.690632,0.02227,30,0
20260703-001000,7,G10,concentracao_de_recompensas,1000,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,20,0.0,0.0,gini,eleito,0.255439,0.023047,30,0
20260703-001000,7,G10,concentracao_de_recompensas,1000,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,20,0.0,0.0,gini,produzido,0.256872,0.023023,30,0
20260703-001000,7,G10,concentracao_de_recompensas,1000,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,20,0.0,0.0,gini_recompensas,stake,0.980563,0.001345,30,0
20260703-001000,7,G10,concentracao_de_recompensas,1000,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,20,0.0,0.0,gini_recompensas,eleito,0.980563,0.001345,30,0
20260703-001000,7,G10,concentracao_de_recompensas,1000,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,20,0.0,0.0,gini_recompensas,produzido,0.980563,0.001345,30,0
20260703-001000,8,G10,concentracao_de_recompensas,1000,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,20,0.0,0.25,gini,stake,0.975164,0.000386,30,0
20260703-001000,8,G10,concentracao_de_recompensas,1000,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,20,0.0,0.25,gini,eleito,0.00052,0.000404,30,0
20260703-001000,8,G10,concentracao_de_recompensas,1000,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,20,0.0,0.25,gini,produzido,0.024144,0.001451,30,0
20260703-001000,8,G10,concentracao_de_recompensas,1000,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,20,0.0,0.25,gini_recompensas,stake,0.980171,0.00021,30,0
20260703-001000,8,G10,concentracao_de_recompensas,1000,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,20,0.0,0.25,gini_recompensas,eleito,0.980171,0.00021,30,0
20260703-001000,8,G10,concentracao_de_recompensas,1000,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,20,0.0,0.25,gini_recompensas,produzido,0.980171,0.00021,30,0
20260703-001000,9,G10,concentracao_de_recompensas,1000,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,20,0.0,0.5,gini,stake,0.979101,1.9e-05,30,0
20260703-001000,9,G10,concentracao_de_recompensas,1000,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,20,0.0,0.5,gini,eleito,-0.0,0.0,30,0
20260703-001000,9,G10,concentracao_de_recompensas,1000,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,20,0.0,0.5,gini,produzido,0.024344,0.001339,30,0
20260703-001000,9,G10,concentracao_de_recompensas,1000,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,20,0.0,0.5,gini_recompensas,stake,0.979746,0.000139,30,0
20260703-001000,9,G10,concentracao_de_recompensas,1000,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,20,0.0,0.5,gini_recompensas,eleito,0.979746,0.000139,30,0
20260703-001000,9,G10,concentracao_de_recompensas,1000,pareto,1.1,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,20,0.0,0.5,gini_recompensas,produzido,0.979746,0.000139,30,0
20260703-001000,10,G10,concentracao_de_recompensas,1000,pareto,1.1,100,27,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.0,gini,stake,0.690632,0.02227,30,0
20260703-001000,10,G10,concentracao_de_recompensas,1000,pareto,1.1,100,27,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.0,gini,eleito,0.297251,0.022474,30,0
20260703-001000,10,G10,concentracao_de_recompensas,1000,pareto,1.1,100,27,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.0,gini,produzido,0.300649,0.022514,30,0
20260703-001000,10,G10,concentracao_de_recompensas,1000,pareto,1.1,100,27,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.0,gini_recompensas,stake,0.978123,0.00079,30,0
20260703-001000,10,G10,concentracao_de_recompensas,1000,pareto,1.1,100,27,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.0,gini_recompensas,eleito,0.978123,0.00079,30,0
20260703-001000,10,G10,concentracao_de_recompensas,1000,pareto,1.1,100,27,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.0,gini_recompensas,produzido,0.978123,0.00079,30,0
20260703-001000,11,G10,concentracao_de_recompensas,1000,pareto,1.1,100,27,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.25,gini,stake,0.860918,0.009319,30,0
20260703-001000,11,G10,concentracao_de_recompensas,1000,pareto,1.1,100,27,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.25,gini,eleito,0.180504,0.018856,30,0
